Key	RU	EN
Perpendicular_Option	Option	Option
Perpendicular_RightHand	RightHand	RightHand
Perpendicular_Enabled	Enabled	Enabled
Perpendicular_Draw Link	Draw Link	Draw Link
Perpendicular_LeftHand	LeftHand	LeftHand
Options_Preserve Ratio	Preserve Ratio	Preserve Ratio
Equal_Equal	Equal	Equal
Equal_Expression	Expression	Expression
Equal_First Length Type	First Length Type	First Length Type
Equal_Length	Length	Length
Equal_Second Length Type	Second Length Type	Second Length Type
Equal_Reference	Reference	Reference
Equal_Solvable	Solvable	Solvable
Equal_Label X	Label X	Label X
Equal_Label Y	Label Y	Label Y
Equal_Label Z	Label Z	Label Z
Equal_Dimension	Dimension	Dimension
Equal_Enabled	Enabled	Enabled
Equal_Draw Link	Draw Link	Draw Link
Equal_Radius	Radius	Radius
Equal_Diameter	Diameter	Diameter
Tangent_Tangent	Tangent	Tangent
Tangent_Option	Option	Option
Tangent_Antidirected	Antidirected	Antidirected
Tangent_Perpendicular	Perpendicular	Perpendicular
Tangent_Enabled	Enabled	Enabled
Tangent_Draw Link	Draw Link	Draw Link
Tangent_Codirected	Codirected	Codirected
HVConstraint_HVConstraint	HVConstraint	HVConstraint
HVConstraint_Orientation	Orientation	Orientation
HVConstraint_OY	OY	OY
HVConstraint_Enabled	Enabled	Enabled
HVConstraint_Draw Link	Draw Link	Draw Link
HVConstraint_OX	OX	OX
HVConstraint_OZ	OZ	OZ
EquationConstraint_EquationConstraint	EquationConstraint	EquationConstraint
EquationConstraint_Expression	Expression	Expression
EquationConstraint_Reference	Reference	Reference
EquationConstraint_Solvable	Solvable	Solvable
EquationConstraint_Label X	Label X	Label X
EquationConstraint_Label Y	Label Y	Label Y
EquationConstraint_Label Z	Label Z	Label Z
EquationConstraint_Dimension	Dimension	Dimension
EquationConstraint_Enabled	Enabled	Enabled
EquationConstraint_Draw Link	Draw Link	Draw Link
Style_Style	Style	Style
Style_Construction	Construction	Construction
Style_Export	Export	Export
Style_Pen	Pen	Pen
Style_Speed	Speed	Speed
Style_Stroke	Stroke	Stroke
Style_Name	Name	Name
